0.45082E+01 0.13540E-01 0.00000E+01 70290 0 0 5285 0.11730E+04 0.00000E+01 0.45082E+01 0.00000E+01 0.00000E+01 0
1 4.4831 0.11228 1.1218 20.303 4.4831
2 4.5058 0.059286 0.83342 11.609 4.5058
3 4.4894 0.037627 0.75079 14.958 4.4894
4 4.5554 0.11648 1.1452 20.156 4.5554
5 4.5044 0.059004 0.82971 14.027 4.5044
6 4.5568 0.03721 0.73146 9.5905 4.5568
7 4.6092 0.11564 1.1237 19.426 4.6092
8 4.551 0.05709 0.79457 13.363 4.551
9 4.5139 0.036324 0.72084 11.048 4.5139
10 4.5465 0.11483 1.1312 19.188 4.5465
11 4.5095 0.059073 0.82974 12.946 4.5095
12 4.4517 0.037198 0.74849 8.699 4.4517
13 4.5965 0.11449 1.1155 18.452 4.5965
14 4.4793 0.058848 0.83215 13.131 4.4793
15 4.4978 0.037401 0.74485 9.7 4.4978
